,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
100,49.45,50.74,49.26,50.38,4719700.0,,,50.38,,,1.0,0.0,AA,XNYS,2022-08-09T00:00:00+0000
101,49.65,50.4,48.47,48.65,4222800.0,,,48.65,,,1.0,0.0,AA,XNYS,2022-08-08T00:00:00+0000
102,47.49,51.35,47.45,49.52,5072500.0,,,49.52,,,1.0,0.0,AA,XNYS,2022-08-05T00:00:00+0000
103,48.54,49.6399,47.2,47.85,4491415.0,,,47.85,,,1.0,0.0,AA,XNYS,2022-08-04T00:00:00+0000
104,48.67,48.8537,47.515,48.49,4369852.0,,,48.49,,,1.0,0.0,AA,XNYS,2022-08-03T00:00:00+0000
105,47.84,49.55,47.2605,48.34,4675358.0,,,48.34,,,1.0,0.0,AA,XNYS,2022-08-02T00:00:00+0000
106,49.88,50.22,48.06,48.28,5875020.0,,,48.28,,,1.0,0.0,AA,XNYS,2022-08-01T00:00:00+0000
107,49.82,51.015,49.09,50.89,5621400.0,,,50.89,,,1.0,0.0,AA,XNYS,2022-07-29T00:00:00+0000
108,48.29,49.22,46.63,49.08,5080000.0,,,49.08,,,1.0,0.0,AA,XNYS,2022-07-28T00:00:00+0000
109,47.605,47.96,45.89,47.75,4853590.0,,,47.75,,,1.0,0.0,AA,XNYS,2022-07-27T00:00:00+0000
110,47.13,48.2247,46.18,46.99,5330853.0,,,46.99,,,1.0,0.0,AA,XNYS,2022-07-26T00:00:00+0000
111,46.8,47.725,46.2,46.8,6820630.0,,,46.8,,,1.0,0.0,AA,XNYS,2022-07-25T00:00:00+0000
112,46.05,48.47,45.47,45.8,10119600.0,,,45.8,,,1.0,0.0,AA,XNYS,2022-07-22T00:00:00+0000
113,47.33,47.45,43.46,45.15,12141851.0,,,45.15,,,1.0,0.0,AA,XNYS,2022-07-21T00:00:00+0000
114,44.67,45.25,43.6,45.06,6365928.0,,,45.06,,,1.0,0.0,AA,XNYS,2022-07-20T00:00:00+0000
115,43.29,44.92,42.85,44.9,5479500.0,,,44.9,,,1.0,0.0,AA,XNYS,2022-07-19T00:00:00+0000
116,44.47,45.25,43.09,43.42,5696109.0,,,43.42,,,1.0,0.0,AA,XNYS,2022-07-18T00:00:00+0000
117,41.56,43.06,40.31,43.06,5190600.0,,,43.06,,,1.0,0.0,AA,XNYS,2022-07-15T00:00:00+0000
118,40.84,41.15,39.565,40.81,5407800.0,,,40.81,,,1.0,0.0,AA,XNYS,2022-07-14T00:00:00+0000
119,41.59,43.53,41.38,43.19,3670800.0,,,43.19,,,1.0,0.0,AA,XNYS,2022-07-13T00:00:00+0000
120,41.65,42.95,41.161,42.25,4309900.0,,,42.25,,,1.0,0.0,AA,XNYS,2022-07-12T00:00:00+0000
121,43.82,44.38,42.59,42.73,4848000.0,,,42.73,,,1.0,0.0,AA,XNYS,2022-07-11T00:00:00+0000
122,45.63,45.79,44.4,44.83,5311900.0,,,44.83,,,1.0,0.0,AA,XNYS,2022-07-08T00:00:00+0000
123,45.5,46.73,45.18,45.65,7507700.0,,,45.65,,,1.0,0.0,AA,XNYS,2022-07-07T00:00:00+0000
124,41.89,43.12,40.65,42.63,8640300.0,,,42.63,,,1.0,0.0,AA,XNYS,2022-07-06T00:00:00+0000
125,42.83,43.26,41.37,42.09,7442800.0,,,42.09,,,1.0,0.0,AA,XNYS,2022-07-05T00:00:00+0000
126,44.885,45.829,43.35,44.78,6633800.0,,,44.78,,,1.0,0.0,AA,XNYS,2022-07-01T00:00:00+0000
127,46.18,46.59,44.27,45.58,6217300.0,,,45.58,,,1.0,0.0,AA,XNYS,2022-06-30T00:00:00+0000
128,49.74,49.75,46.88,47.62,4289500.0,,,47.62,,,1.0,0.0,AA,XNYS,2022-06-29T00:00:00+0000
129,50.12,51.1,48.868,49.25,5221300.0,,,49.25,,,1.0,0.0,AA,XNYS,2022-06-28T00:00:00+0000
