symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
SANB11.BVMF,315,SANTANDER BRUNT,False,True,Bovespa
SANB3.BVMF,317,SANTANDER BRON,False,True,Bovespa
MELI34.BVMF,318,MERCADOLIBREDRN,False,True,Bovespa
KHCB34.BVMF,319,KRAFT HEINZ DRN,False,True,Bovespa
HPQB34.BVMF,320,HP COMPANY DRN,False,True,Bovespa
EAIN34.BVMF,323,ELECTR ARTS DRN,False,True,Bovespa
TLNC34.BVMF,324,TELEFONIC DRN,False,True,Bovespa
DEAI34.BVMF,325,DELTA DRN,False,True,Bovespa
OXYP34.BVMF,327,OCCIDENT PTRDRN,False,True,Bovespa
RY.XTSE,328,ROYAL BANK OF CANADA,False,True,TSX
TD.XTSE,329,TORONTO-DOMINION BANK,False,True,TSX
ENB.XTSE,330,ENBRIDGE INC,False,True,TSX
CNU.XTSE,331,CNOOC LIMITED,False,True,TSX
BNS.XTSE,332,BANK OF NOVA SCOTIA,False,True,TSX
CNR.XTSE,334,CANADIAN NATIONAL RAILWAY CO.,False,True,TSX
SHOP.XTSE,335,SHOPIFY INC,False,True,TSX
TRP.XTSE,336,TC ENERGY CORP.,False,True,TSX
BMO.XTSE,337,BANK OF MONTREAL,False,True,TSX
SU.XTSE,338,SUNCOR ENERGY INC.,False,True,TSX
BCE.XTSE,339,BCE INC.,False,True,TSX
TRI.XTSE,340,THOMSON REUTERS CORPORATION,False,True,TSX
NGT.XTSE,341,NEWMONT CORPORATION,False,True,TSX
ABX.XTSE,342,BARRICK GOLD CORPORATION,False,True,TSX
CP.XTSE,345,CANADIAN PACIFIC RAILWAY LIMITED,False,True,TSX
CM.XTSE,346,CANADIAN IMPERIAL BANK OF COMMERCE,False,True,TSX
MFC.XTSE,347,MANULIFE FIN,False,True,TSX
CNQ.XTSE,348,CDN NATURAL RES,False,True,TSX
QSR.XTSE,349,RESTAURANT BRANDS INTERNATIONAL INC,False,True,TSX
WCN.XTSE,350,WASTE CONNECTIONS INC,False,True,TSX
SLF.XTSE,351,SUN LIFE FINANCIAL INC.,False,True,TSX
NTR.XTSE,355,NUTRIEN LTD,False,True,TSX
T.XTSE,356,TELUS CORPORATION,False,True,TSX
CSU.XTSE,357,CONSTELLATION SOFTWARE INC.,False,True,TSX
GWO.XTSE,358,GREAT-WEST LIFECO INC,False,True,TSX
FNV.XTSE,359,FRANCO-NEVADA CORPORATION,False,True,TSX
FTS.XTSE,360,FORTIS INC,False,True,TSX
PPL.XTSE,362,PEMBINA PIPELINE CORPORATION,False,True,TSX
L.XTSE,363,LOBLAW CO,False,True,TSX
NA.XTSE,364,NATIONAL BANK OF CANADA,False,True,TSX
IMO.XTSE,365,IMPERIAL OIL,False,True,TSX
IFC.XTSE,367,INTACT FINANCIAL CORPORATION,False,True,TSX
POW.XTSE,368,"POWER CORPORATION OF CANADA, SV",False,True,TSX
MG.XTSE,370,MAGNA INTERNATIONAL INC,False,True,TSX
WPM.XTSE,371,WHEATON PRECIOUS METALS CORP,False,True,TSX
FFH.XTSE,373,FAIRFAX FINANCIAL HOLDINGS LTD.,False,True,TSX
H.XTSE,374,HYDRO ONE LIMITED,False,True,TSX
WN.XTSE,375,WESTON GEORGE,False,True,TSX
OTEX.XTSE,376,OPEN TEXT CORPORATION,False,True,TSX
AEM.XTSE,377,AGNICO EAGLE MINES LIMITED,False,True,TSX
SAP.XTSE,378,SAPUTO INC.,False,True,TSX
